hs6,year,n_eu_codes,min_mrl_weakest,lumped,stringency
081050,2016,1,0.005,0,5.2983
081050,2017,1,0.005,0,5.2983
081050,2018,1,0.005,0,5.2983
081050,2019,1,0.005,0,5.2983
081050,2020,1,0.005,0,5.2983
081050,2021,1,0.005,0,5.2983
081050,2022,1,0.001,0,6.9078
081050,2023,1,0.001,0,6.9078
081060,2015,1,0.01,0,4.6052
081060,2016,1,0.005,0,5.2983
081060,2017,1,0.005,0,5.2983
081060,2018,1,0.005,0,5.2983
081060,2019,1,0.005,0,5.2983
081060,2020,1,0.005,0,5.2983
081060,2021,1,0.005,0,5.2983
081060,2022,1,0.001,0,6.9078
081060,2023,1,0.001,0,6.9078
081070,2015,1,0.01,0,4.6052
081070,2016,1,0.003,0,5.8091
081070,2017,1,0.003,0,5.8091
081070,2018,1,0.003,0,5.8091
081070,2019,1,0.003,0,5.8091
081070,2020,1,0.003,0,5.8091
081070,2021,1,0.003,0,5.8091
081070,2022,1,0.001,0,6.9078
081070,2023,1,0.001,0,6.9078
090111,2015,1,0.01,0,4.6052
090111,2016,1,0.01,0,4.6052
090111,2017,1,0.01,0,4.6052
090111,2018,1,0.01,0,4.6052
090111,2019,1,0.01,0,4.6052
